"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","SeikoEpson_f1:b4:d0","Broadcast","ARP","60","ARP Announcement for 100.64.10.175"
"2","0.259426","100.64.11.41","52.112.92.71","TCP","55","60963  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"3","0.265323","172.217.12.142","100.64.11.41","UDP","81","443  >  52859 Len=39"
"4","0.274368","100.64.11.41","172.217.12.142","UDP","75","52859  >  443 Len=33"
"5","0.274628","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"6","0.280313","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"7","0.295284","52.112.92.71","100.64.11.41","TCP","66","443  >  60963 [ACK] Seq=1 Ack=2 Win=16382 Len=0 SLE=1 SRE=2"
"8","0.494278","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"9","0.518323","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"10","0.718483","100.64.11.41","172.217.12.142","UDP","354","52859  >  443 Len=312"
"11","0.722871","172.217.12.142","100.64.11.41","UDP","72","443  >  52859 Len=30"
"12","0.731879","100.64.11.41","172.217.12.142","UDP","75","52859  >  443 Len=33"
"13","0.758836","172.217.12.142","100.64.11.41","UDP","151","443  >  52859 Len=109"
"14","0.758920","172.217.12.142","100.64.11.41","UDP","181","443  >  52859 Len=139"
"15","0.759114","100.64.11.41","172.217.12.142","UDP","79","52859  >  443 Len=37"
"16","0.762433","100.64.11.41","172.217.12.142","UDP","75","52859  >  443 Len=33"
"17","0.764150","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"18","0.969066","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"19","0.975125","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"20","1.140864","100.64.11.41","172.217.14.106","UDP","71","63588  >  443 Len=29"
"21","1.170136","172.217.14.106","100.64.11.41","UDP","67","443  >  63588 Len=25"
"22","1.186812","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"23","1.192911","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"24","1.406856","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"25","1.415730","172.217.12.142","100.64.11.41","UDP","67","443  >  52859 Len=25"
"26","1.624338","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"27","1.630232","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"28","1.720516","100.64.11.41","52.108.0.40","TCP","66","61001  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"29","1.733712","52.108.0.40","100.64.11.41","TCP","66","443  >  61001 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"30","1.733767","100.64.11.41","52.108.0.40","TCP","54","61001  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"31","1.733876","100.64.11.41","52.108.0.40","TLSv1.2","571","Client Hello (SNI=pus3-collabhubrtc.officeapps.live.com)"
"32","1.747970","52.108.0.40","100.64.11.41","TCP","1514","443  >  61001 [ACK] Seq=1 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"33","1.747970","52.108.0.40","100.64.11.41","TCP","1514","443  >  61001 [ACK] Seq=1461 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"34","1.747970","52.108.0.40","100.64.11.41","TCP","1514","443  >  61001 [ACK] Seq=2921 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"35","1.747970","52.108.0.40","100.64.11.41","TLSv1.2","112","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"36","1.748034","100.64.11.41","52.108.0.40","TCP","54","61001  >  443 [ACK] Seq=518 Ack=4439 Win=132352 Len=0"
"37","1.763906","100.64.11.41","52.108.0.40","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"38","1.777439","52.108.0.40","100.64.11.41","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"39","1.777711","100.64.11.41","52.108.0.40","TLSv1.2","2699","Application Data"
"40","1.790238","52.108.0.40","100.64.11.41","TCP","56","443  >  61001 [ACK] Seq=4490 Ack=3321 Win=525568 Len=0"
"41","1.796059","52.108.0.40","100.64.11.41","TLSv1.2","689","Application Data"
"42","1.796059","52.108.0.40","100.64.11.41","TLSv1.2","88","Application Data"
"43","1.796118","100.64.11.41","52.108.0.40","TCP","54","61001  >  443 [ACK] Seq=3321 Ack=5159 Win=131584 Len=0"
"44","1.796331","100.64.11.41","52.108.0.40","TLSv1.2","85","Encrypted Alert"
"45","1.796522","100.64.11.41","52.108.0.40","TCP","54","61001  >  443 [FIN, ACK] Seq=3352 Ack=5159 Win=131584 Len=0"
"46","1.809073","52.108.0.40","100.64.11.41","TCP","56","443  >  61001 [ACK] Seq=5159 Ack=3353 Win=525568 Len=0"
"47","1.809073","52.108.0.40","100.64.11.41","TCP","56","443  >  61001 [FIN, ACK] Seq=5159 Ack=3353 Win=525568 Len=0"
"48","1.809145","100.64.11.41","52.108.0.40","TCP","54","61001  >  443 [ACK] Seq=3353 Ack=5160 Win=131584 Len=0"
"49","1.843871","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"50","1.849500","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"51","2.062882","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"52","2.069298","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"53","2.473806","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"54","2.478798","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"55","2.743600","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"56","2.749111","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"57","3.078562","100.64.11.41","142.250.189.14","UDP","1292","65191  >  443 Len=1250"
"58","3.078728","100.64.11.41","142.250.189.14","UDP","1287","65191  >  443 Len=1245"
"59","3.078770","100.64.11.41","142.250.189.14","UDP","368","65191  >  443 Len=326"
"60","3.087381","142.250.189.14","100.64.11.41","UDP","72","443  >  65191 Len=30"
"61","3.088739","100.64.11.41","142.250.189.14","UDP","75","65191  >  443 Len=33"
"62","3.090843","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
