"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Destination Port"
"31","1.782835","192.168.0.228","144.195.22.182","UDP","123","63846  >  8801 Len=81","63846","8801"
"32","1.782895","192.168.0.228","144.195.22.182","UDP","123","63847  >  8801 Len=81","63847","8801"
"33","1.782917","192.168.0.228","144.195.22.182","UDP","123","63850  >  8801 Len=81","63850","8801"
"34","1.809935","144.195.22.182","192.168.0.228","UDP","123","8801  >  63847 Len=81","8801","63847"
"35","1.810192","144.195.22.182","192.168.0.228","UDP","123","8801  >  63850 Len=81","8801","63850"
"36","1.810192","144.195.22.182","192.168.0.228","UDP","123","8801  >  63846 Len=81","8801","63846"
"37","1.812753","144.195.22.182","192.168.0.228","UDP","133","8801  >  63850 Len=91","8801","63850"
"38","1.812753","144.195.22.182","192.168.0.228","UDP","133","8801  >  63846 Len=91","8801","63846"
"39","1.812753","144.195.22.182","192.168.0.228","UDP","133","8801  >  63847 Len=91","8801","63847"
"40","1.812836","192.168.0.228","144.195.22.182","UDP","151","63850  >  8801 Len=109","63850","8801"
"41","1.812899","192.168.0.228","144.195.22.182","UDP","151","63846  >  8801 Len=109","63846","8801"
"42","1.812929","192.168.0.228","144.195.22.182","UDP","151","63847  >  8801 Len=109","63847","8801"
"67","5.531814","192.168.0.228","144.195.22.182","UDP","123","63846  >  8801 Len=81","63846","8801"
"68","5.531877","192.168.0.228","144.195.22.182","UDP","123","63847  >  8801 Len=81","63847","8801"
"69","5.531904","192.168.0.228","144.195.22.182","UDP","123","63850  >  8801 Len=81","63850","8801"
"70","5.559085","144.195.22.182","192.168.0.228","UDP","123","8801  >  63847 Len=81","8801","63847"
"71","5.559085","144.195.22.182","192.168.0.228","UDP","123","8801  >  63846 Len=81","8801","63846"
"72","5.560340","144.195.22.182","192.168.0.228","UDP","123","8801  >  63850 Len=81","8801","63850"
"73","5.573609","144.195.22.182","192.168.0.228","UDP","133","8801  >  63850 Len=91","8801","63850"
"74","5.573609","144.195.22.182","192.168.0.228","UDP","133","8801  >  63846 Len=91","8801","63846"
"75","5.573609","144.195.22.182","192.168.0.228","UDP","133","8801  >  63847 Len=91","8801","63847"
"76","5.573748","192.168.0.228","144.195.22.182","UDP","151","63850  >  8801 Len=109","63850","8801"
"77","5.573819","192.168.0.228","144.195.22.182","UDP","151","63846  >  8801 Len=109","63846","8801"
"78","5.573850","192.168.0.228","144.195.22.182","UDP","151","63847  >  8801 Len=109","63847","8801"
"209","9.277923","192.168.0.228","144.195.22.182","UDP","123","63846  >  8801 Len=81","63846","8801"
"210","9.277971","192.168.0.228","144.195.22.182","UDP","123","63847  >  8801 Len=81","63847","8801"
"211","9.277994","192.168.0.228","144.195.22.182","UDP","123","63850  >  8801 Len=81","63850","8801"
"212","9.308331","144.195.22.182","192.168.0.228","UDP","123","8801  >  63846 Len=81","8801","63846"
"213","9.308773","144.195.22.182","192.168.0.228","UDP","123","8801  >  63850 Len=81","8801","63850"
"214","9.308773","144.195.22.182","192.168.0.228","UDP","123","8801  >  63847 Len=81","8801","63847"
"215","9.312719","144.195.22.182","192.168.0.228","UDP","133","8801  >  63846 Len=91","8801","63846"
"216","9.312839","192.168.0.228","144.195.22.182","UDP","151","63846  >  8801 Len=109","63846","8801"
"217","9.312901","144.195.22.182","192.168.0.228","UDP","133","8801  >  63847 Len=91","8801","63847"
"218","9.312901","144.195.22.182","192.168.0.228","UDP","133","8801  >  63850 Len=91","8801","63850"
"219","9.312985","192.168.0.228","144.195.22.182","UDP","151","63847  >  8801 Len=109","63847","8801"
"220","9.313029","192.168.0.228","144.195.22.182","UDP","151","63850  >  8801 Len=109","63850","8801"
"339","13.034524","192.168.0.228","144.195.22.182","UDP","123","63846  >  8801 Len=81","63846","8801"
"340","13.034588","192.168.0.228","144.195.22.182","UDP","123","63847  >  8801 Len=81","63847","8801"
"341","13.034618","192.168.0.228","144.195.22.182","UDP","123","63850  >  8801 Len=81","63850","8801"
"344","13.062883","144.195.22.182","192.168.0.228","UDP","133","8801  >  63846 Len=91","8801","63846"
"345","13.062883","144.195.22.182","192.168.0.228","UDP","133","8801  >  63847 Len=91","8801","63847"
"346","13.062883","144.195.22.182","192.168.0.228","UDP","133","8801  >  63850 Len=91","8801","63850"
"347","13.063036","192.168.0.228","144.195.22.182","UDP","151","63846  >  8801 Len=109","63846","8801"
"348","13.063097","192.168.0.228","144.195.22.182","UDP","151","63847  >  8801 Len=109","63847","8801"
"349","13.063127","192.168.0.228","144.195.22.182","UDP","151","63850  >  8801 Len=109","63850","8801"
"350","13.065745","144.195.22.182","192.168.0.228","UDP","123","8801  >  63847 Len=81","8801","63847"
"351","13.065793","144.195.22.182","192.168.0.228","UDP","123","8801  >  63850 Len=81","8801","63850"
"352","13.065793","144.195.22.182","192.168.0.228","UDP","123","8801  >  63846 Len=81","8801","63846"
"417","16.779498","192.168.0.228","144.195.22.182","UDP","123","63846  >  8801 Len=81","63846","8801"
"418","16.779626","192.168.0.228","144.195.22.182","UDP","123","63847  >  8801 Len=81","63847","8801"
"419","16.779682","192.168.0.228","144.195.22.182","UDP","123","63850  >  8801 Len=81","63850","8801"
"420","16.806197","144.195.22.182","192.168.0.228","UDP","123","8801  >  63850 Len=81","8801","63850"
"421","16.806492","144.195.22.182","192.168.0.228","UDP","123","8801  >  63847 Len=81","8801","63847"
"422","16.806492","144.195.22.182","192.168.0.228","UDP","123","8801  >  63846 Len=81","8801","63846"
"423","16.818884","144.195.22.182","192.168.0.228","UDP","133","8801  >  63850 Len=91","8801","63850"
"424","16.819064","144.195.22.182","192.168.0.228","UDP","133","8801  >  63846 Len=91","8801","63846"
"425","16.819064","144.195.22.182","192.168.0.228","UDP","133","8801  >  63847 Len=91","8801","63847"
"426","16.819154","192.168.0.228","144.195.22.182","UDP","151","63850  >  8801 Len=109","63850","8801"
"427","16.819271","192.168.0.228","144.195.22.182","UDP","151","63846  >  8801 Len=109","63846","8801"
"428","16.819320","192.168.0.228","144.195.22.182","UDP","151","63847  >  8801 Len=109","63847","8801"
