No.,Time,Source,Destination,Protocol,Length,Info
1,0,100.64.11.41,13.107.42.16,TCP,55,61652  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]
2,0.008636,13.107.42.16,100.64.11.41,TCP,66,443  >  61652 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2
3,1.698994,100.64.11.41,142.250.189.14,UDP,1288,52628  >  443 Len=1246
4,1.699183,100.64.11.41,142.250.189.14,UDP,1292,52628  >  443 Len=1250
5,1.69928,100.64.11.41,142.250.189.14,UDP,1292,52628  >  443 Len=1250
6,1.699378,100.64.11.41,142.250.189.14,UDP,1291,52628  >  443 Len=1249
7,1.708048,142.250.189.14,100.64.11.41,UDP,73,443  >  52628 Len=31
8,1.708359,142.250.189.14,100.64.11.41,UDP,70,443  >  52628 Len=28
9,1.732972,142.250.189.14,100.64.11.41,UDP,71,443  >  52628 Len=29
10,1.735307,100.64.11.41,142.250.189.14,UDP,75,52628  >  443 Len=33
11,1.787369,142.250.189.14,100.64.11.41,UDP,1165,443  >  52628 Len=1123
12,1.787834,100.64.11.41,142.250.189.14,UDP,78,52628  >  443 Len=36
13,1.798171,142.250.189.14,100.64.11.41,UDP,96,443  >  52628 Len=54
14,1.798171,142.250.189.14,100.64.11.41,UDP,279,443  >  52628 Len=237
15,1.798491,100.64.11.41,142.250.189.14,UDP,74,52628  >  443 Len=32
16,1.820103,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
17,2.035241,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
18,2.067754,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
19,2.270184,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
20,2.306737,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
21,2.507993,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
22,2.54492,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
23,2.757344,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
24,2.757868,100.64.6.140,224.0.0.251,MDNS,171,"Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
25,2.757868,fe80::8d1:114b:1d55:6adf,ff02::fb,MDNS,191,"Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
26,2.78873,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
27,2.990859,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
28,3.023349,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
29,3.228832,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
30,3.262258,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
31,3.669505,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
32,3.702579,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
33,3.791056,100.64.6.140,224.0.0.251,MDNS,239,"Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Vanessaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Alexiaâ\200\231s iPad._companion-link._tcp.local OPT"
34,3.791056,fe80::8d1:114b:1d55:6adf,ff02::fb,MDNS,259,"Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Vanessaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Alexiaâ\200\231s iPad._companion-link._tcp.local OPT"
35,4.045972,100.64.11.41,142.250.68.110,UDP,71,51260  >  443 Len=29
36,4.048482,142.250.68.110,100.64.11.41,UDP,79,443  >  51260 Len=37
37,4.048482,142.250.68.110,100.64.11.41,UDP,78,443  >  51260 Len=36
38,4.048482,142.250.68.110,100.64.11.41,UDP,87,443  >  51260 Len=45
39,4.050049,100.64.11.41,142.250.68.110,UDP,75,51260  >  443 Len=33
40,4.05403,100.64.11.41,142.250.189.14,UDP,455,52628  >  443 Len=413
41,4.054359,142.250.68.110,100.64.11.41,UDP,68,443  >  51260 Len=26
42,4.06108,142.250.189.14,100.64.11.41,UDP,70,443  >  52628 Len=28
43,4.071367,142.250.189.14,100.64.11.41,UDP,142,443  >  52628 Len=100
44,4.071678,100.64.11.41,142.250.189.14,UDP,78,52628  >  443 Len=36
45,4.108078,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
46,4.313516,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
47,4.34567,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
48,4.551294,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
49,4.584274,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
50,4.78878,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
51,4.804418,100.64.11.41,52.123.190.0,TLSv1.2,112,Application Data
52,4.80526,13.107.42.14,100.64.11.41,TLSv1.2,100,Application Data
53,4.819978,100.64.11.41,13.107.42.14,TLSv1.2,96,Application Data
54,4.820162,100.64.11.41,13.107.42.14,TLSv1.2,96,Application Data
55,4.820486,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
56,4.828685,13.107.42.14,100.64.11.41,TCP,56,443  >  60977 [ACK] Seq=47 Ack=43 Win=16383 Len=0
57,4.829886,13.107.42.14,100.64.11.41,TCP,56,443  >  60977 [ACK] Seq=47 Ack=85 Win=16383 Len=0
58,4.8601,52.123.190.0,100.64.11.41,TLSv1.2,101,Application Data
59,4.91478,100.64.11.41,52.123.190.0,TCP,54,60761  >  443 [ACK] Seq=59 Ack=48 Win=511 Len=0
60,5.025691,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
61,5.058469,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
62,5.261764,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
63,5.292998,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
64,5.497474,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
65,5.534303,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
66,5.93987,100.64.11.41,142.250.189.14,UDP,71,52628  >  443 Len=29
67,5.97442,142.250.189.14,100.64.11.41,UDP,67,443  >  52628 Len=25
68,6.699444,100.64.11.41,31.13.70.49,TLSv1.2,124,Application Data
