"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Destination Port"
"6","0.205748","192.168.0.192","192.168.0.228","TCP","78","59168  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2374886598 TSecr=0 SACK_PERM","59168","80"
"7","0.205748","192.168.0.192","192.168.0.228","TCP","78","59169  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4034512646 TSecr=0 SACK_PERM","59169","443"
"10","0.224948","192.168.0.192","192.168.0.228","TCP","78","59170  >  199 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=797845707 TSecr=0 SACK_PERM","59170","199"
"11","0.224948","192.168.0.192","192.168.0.228","TCP","78","59171  >  3306 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2144700626 TSecr=0 SACK_PERM","59171","3306"
"12","0.224948","192.168.0.192","192.168.0.228","TCP","78","59172  >  256 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1854393329 TSecr=0 SACK_PERM","59172","256"
"13","0.224948","192.168.0.192","192.168.0.228","TCP","78","59173  >  995 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4256949092 TSecr=0 SACK_PERM","59173","995"
"14","0.224948","192.168.0.192","192.168.0.228","TCP","78","59174  >  22 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4065479074 TSecr=0 SACK_PERM","59174","22"
"20","0.233835","192.168.0.192","192.168.0.228","TCP","78","59175  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2681225973 TSecr=0 SACK_PERM","59175","443"
"21","0.233835","192.168.0.192","192.168.0.228","TCP","78","59176  >  21 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3847353716 TSecr=0 SACK_PERM","59176","21"
"22","0.233835","192.168.0.192","192.168.0.228","TCP","78","59177  >  25 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1434649817 TSecr=0 SACK_PERM","59177","25"
"23","0.233835","192.168.0.192","192.168.0.228","TCP","78","59178  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3256529280 TSecr=0 SACK_PERM","59178","53"
"24","0.233835","192.168.0.192","192.168.0.228","TCP","78","59179  >  445 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=626058611 TSecr=0 SACK_PERM","59179","445"
"30","0.242026","192.168.0.192","192.168.0.228","TCP","54","59179  >  445 [ACK] Seq=1 Ack=1 Win=262144 Len=0","59179","445"
"31","0.242026","192.168.0.192","192.168.0.228","TCP","54","59179  >  445 [RST, ACK] Seq=1 Ack=1 Win=262144 Len=0","59179","445"
"32","0.244935","192.168.0.192","192.168.0.228","TCP","78","59180  >  139 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3077562825 TSecr=0 SACK_PERM","59180","139"
"33","0.244935","192.168.0.192","192.168.0.228","TCP","78","59181  >  1723 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1962672290 TSecr=0 SACK_PERM","59181","1723"
"34","0.244935","192.168.0.192","192.168.0.228","TCP","78","59182  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1425577250 TSecr=0 SACK_PERM","59182","8080"
"35","0.244935","192.168.0.192","192.168.0.228","TCP","78","59183  >  8888 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=587137322 TSecr=0 SACK_PERM","59183","8888"
"36","0.244935","192.168.0.192","192.168.0.228","TCP","78","59184  >  5900 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1108960357 TSecr=0 SACK_PERM","59184","5900"
"42","0.253742","192.168.0.192","192.168.0.228","TCP","54","59180  >  139 [ACK] Seq=1 Ack=1 Win=262144 Len=0","59180","139"
"43","0.253742","192.168.0.192","192.168.0.228","TCP","54","59180  >  139 [RST, ACK] Seq=1 Ack=1 Win=262144 Len=0","59180","139"
"44","0.253742","192.168.0.192","192.168.0.228","TCP","78","59185  >  1720 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1336556010 TSecr=0 SACK_PERM","59185","1720"
"45","0.253742","192.168.0.192","192.168.0.228","TCP","78","59186  >  143 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=84037820 TSecr=0 SACK_PERM","59186","143"
"48","0.258563","192.168.0.192","192.168.0.228","TCP","78","59187  >  113 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1117722066 TSecr=0 SACK_PERM","59187","113"
"49","0.258563","192.168.0.192","192.168.0.228","TCP","78","59188  >  23 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1236643040 TSecr=0 SACK_PERM","59188","23"
